time,amplitude,fluxintegral,power
0,0,0.90903992603697,0
0.1,1,0.90903992603697,0.99994391864067
0.2,1.0030790647408,0.90923634092744,1.0001599750202
0.3,1.0127419452367,0.90982858418001,1.000811442598
0.4,1.0319686460044,0.911066090108,1.0021726991188
0.5,1.0660397060681,0.91323377014943,1.0045571471644
0.6,1.124197608047,0.91667108088818,1.008338188977
0.7,1.1947749096085,0.9199668828321,1.0119635711153
0.8,1.2624061995057,0.92299651199988,1.0152961631999
0.9,1.3267346156656,0.92573390982877,1.0183073008116
1,1.3880125226249,0.92819372282026,1.0210130951023
1.1,1.422285765211,0.92993868043335,1.0229325484767
1.2,1.4126150027332,0.93087843676438,1.0239662804408
1.3,1.3708733919571,0.93099828169202,1.0240981098612
1.4,1.3118050129792,0.93036854950185,1.023405404452
1.5,1.2482507075963,0.92914131793159,1.0220554497248
1.6,1.1888050705805,0.92752159836808,1.0202737582049
1.7,1.137723356029,0.92572109588195,1.0182932054701
1.8,1.1020593413586,0.92415222963713,1.0165674526008
1.9,1.081581596788,0.92290951733225,1.0152004690655
2,1.0697270731274,0.92198919594222,1.0141881155364

